Zipcode,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
00601,17982.0,456.0,3017.0,156.0,615.0,1720.0,248.0,59.0,65.0
00602,40260.0,955.0,4770.0,1004.0,3499.0,4203.0,1242.0,206.0,258.0
00603,52408.0,1014.0,8309.0,1381.0,3147.0,5981.0,1710.0,283.0,280.0
00606,6331.0,188.0,1441.0,74.0,155.0,385.0,21.0,17.0,32.0
00610,28328.0,377.0,5707.0,803.0,1598.0,2266.0,453.0,38.0,144.0
00612,64816.0,1330.0,10863.0,1250.0,3546.0,8055.0,1809.0,411.0,537.0
00616,10707.0,213.0,2468.0,198.0,832.0,890.0,148.0,12.0,16.0
00617,24793.0,624.0,5213.0,295.0,1773.0,2170.0,403.0,0.0,51.0
00622,7425.0,130.0,1357.0,36.0,381.0,743.0,151.0,0.0,105.0
00623,42955.0,910.0,6838.0,643.0,3037.0,5895.0,1035.0,141.0,499.0
00624,24628.0,466.0,4555.0,323.0,1474.0,2297.0,280.0,71.0,105.0
00627,33949.0,624.0,5774.0,281.0,1990.0,3632.0,844.0,89.0,131.0
00631,1664.0,54.0,257.0,6.0,56.0,136.0,12.0,0.0,0.0
00637,24398.0,539.0,5212.0,282.0,1124.0,2755.0,406.0,62.0,90.0
00638,18084.0,436.0,3339.0,387.0,1288.0,1361.0,139.0,23.0,17.0
00641,29516.0,533.0,4982.0,593.0,1696.0,3028.0,412.0,66.0,123.0
00646,38396.0,708.0,6112.0,422.0,2017.0,5365.0,1554.0,473.0,164.0
00647,5740.0,121.0,1306.0,101.0,156.0,512.0,107.0,34.0,11.0
00650,14738.0,214.0,3648.0,193.0,1026.0,908.0,22.0,14.0,33.0
00652,3800.0,37.0,683.0,31.0,188.0,451.0,100.0,0.0,0.0
00653,12514.0,202.0,2758.0,195.0,554.0,941.0,216.0,47.0,52.0
00656,20414.0,430.0,3674.0,426.0,1525.0,2129.0,280.0,64.0,97.0
00659,41578.0,670.0,5669.0,471.0,3391.0,4760.0,1336.0,95.0,271.0
00660,16845.0,376.0,3327.0,508.0,725.0,2069.0,493.0,61.0,94.0
00662,42499.0,871.0,8157.0,541.0,2263.0,4415.0,1136.0,87.0,123.0
00664,15974.0,251.0,3302.0,399.0,668.0,1200.0,329.0,0.0,58.0
00667,24968.0,799.0,4081.0,223.0,1829.0,1846.0,541.0,52.0,178.0
00669,27703.0,698.0,4045.0,278.0,988.0,2714.0,612.0,54.0,46.0
00670,9333.0,185.0,1579.0,88.0,235.0,810.0,154.0,0.0,18.0
00674,42358.0,858.0,6922.0,479.0,2963.0,5137.0,904.0,117.0,178.0
00676,38999.0,873.0,6655.0,1082.0,1384.0,3765.0,844.0,204.0,109.0
00677,14855.0,265.0,2025.0,290.0,1517.0,1681.0,377.0,0.0,133.0
00678,26815.0,718.0,4615.0,237.0,2101.0,2741.0,511.0,38.0,134.0
00680,52431.0,1054.0,9469.0,1580.0,1694.0,4654.0,1125.0,221.0,571.0
00682,32431.0,532.0,4957.0,868.0,1196.0,3490.0,1084.0,201.0,526.0
00683,32569.0,523.0,5862.0,786.0,1382.0,3713.0,960.0,138.0,282.0
00685,40800.0,1351.0,5601.0,911.0,1687.0,4246.0,608.0,172.0,52.0
00687,32294.0,731.0,5432.0,442.0,1947.0,2604.0,612.0,18.0,127.0
00688,12870.0,190.0,2711.0,326.0,843.0,1077.0,230.0,65.0,0.0
00690,5565.0,98.0,733.0,82.0,286.0,984.0,278.0,21.0,51.0
00692,36777.0,438.0,5068.0,484.0,2313.0,3260.0,1052.0,154.0,118.0
00693,58615.0,1191.0,4206.0,750.0,4746.0,6023.0,1500.0,138.0,125.0
00694,77.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
00698,39395.0,1221.0,7038.0,798.0,1942.0,4152.0,777.0,214.0,168.0
00703,28165.0,877.0,4851.0,1116.0,1492.0,2015.0,364.0,88.0,35.0
00704,8007.0,128.0,1380.0,77.0,453.0,734.0,285.0,12.0,32.0
00705,24717.0,523.0,4936.0,396.0,1122.0,2770.0,623.0,53.0,25.0
00707,11701.0,259.0,1826.0,221.0,660.0,1074.0,245.0,0.0,2.0
00714,18988.0,472.0,3942.0,274.0,1395.0,1619.0,400.0,39.0,20.0
00715,3586.0,96.0,555.0,63.0,214.0,177.0,8.0,7.0,39.0
00716,30876.0,586.0,5184.0,339.0,1588.0,4562.0,1236.0,420.0,450.0
00717,17704.0,344.0,2981.0,196.0,1102.0,1929.0,641.0,194.0,187.0
00718,26547.0,505.0,4493.0,291.0,1467.0,2897.0,439.0,45.0,45.0
00719,30588.0,987.0,4772.0,548.0,2143.0,2663.0,424.0,84.0,9.0
