,Zipcode,Place Name,State,State Abbreviation,County,Latitude,Longitude,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
0,1001,Agawam,Massachusetts,MA,Hampden,42.0702,-72.6227,17438.0,47.0,3493.0,309.0,1501.0,2218.0,1172.0,115.0,100.0
1,1002,Amherst,Massachusetts,MA,Hampshire,42.3671,-72.4646,29780.0,136.0,1504.0,132.0,669.0,3230.0,3253.0,551.0,2003.0
2,1003,Amherst,Massachusetts,MA,Hampshire,42.3919,-72.5248,11241.0,0.0,0.0,12.0,10.0,23.0,21.0,1.0,1.0
3,1005,Barre,Massachusetts,MA,Worcester,42.4097,-72.1084,5201.0,0.0,1299.0,106.0,408.0,483.0,209.0,37.0,98.0
4,1007,Belchertown,Massachusetts,MA,Hampshire,42.2751,-72.411,14838.0,16.0,1921.0,384.0,1051.0,2254.0,1359.0,213.0,326.0
5,1008,Blandford,Massachusetts,MA,Hampden,42.1829,-72.9361,1171.0,0.0,271.0,27.0,97.0,149.0,93.0,3.0,5.0
6,1009,Bondsville,Massachusetts,MA,Hampden,42.2061,-72.3405,429.0,41.0,85.0,11.0,23.0,47.0,11.0,0.0,0.0
7,1010,Brimfield,Massachusetts,MA,Hampden,42.1165,-72.1885,3695.0,0.0,435.0,83.0,411.0,685.0,351.0,53.0,36.0
8,1011,Chester,Massachusetts,MA,Hampden,42.2794,-72.9888,1506.0,4.0,410.0,55.0,118.0,124.0,52.0,14.0,0.0
9,1012,Chesterfield,Massachusetts,MA,Hampshire,42.3923,-72.8256,539.0,0.0,112.0,2.0,28.0,90.0,50.0,4.0,16.0
10,1013,Chicopee,Massachusetts,MA,Hampden,42.1487,-72.6079,22394.0,451.0,5023.0,784.0,1319.0,1543.0,711.0,56.0,79.0
11,1020,Chicopee,Massachusetts,MA,Hampden,42.1764,-72.5761,30952.0,442.0,7205.0,1383.0,2784.0,2609.0,1149.0,122.0,84.0
12,1022,Chicopee,Massachusetts,MA,Hampden,42.1934,-72.5544,2840.0,0.0,539.0,32.0,297.0,286.0,227.0,0.0,0.0
13,1026,Cummington,Massachusetts,MA,Hampshire,42.4633,-72.9202,1036.0,0.0,251.0,19.0,59.0,169.0,104.0,12.0,8.0
14,1027,Easthampton,Massachusetts,MA,Hampshire,42.2668,-72.669,17787.0,91.0,3956.0,424.0,1466.0,2982.0,1306.0,208.0,96.0
15,1028,East Longmeadow,Massachusetts,MA,Hampden,42.0672,-72.5056,16017.0,63.0,2664.0,263.0,1203.0,2546.0,1506.0,625.0,76.0
16,1029,East Otis,Massachusetts,MA,Berkshire,42.1909,-73.0517,717.0,3.0,204.0,3.0,52.0,85.0,24.0,16.0,0.0
17,1030,Feeding Hills,Massachusetts,MA,Hampden,42.0718,-72.6751,11250.0,25.0,2331.0,211.0,964.0,1518.0,631.0,91.0,48.0
18,1031,Gilbertville,Massachusetts,MA,Worcester,42.3322,-72.1986,1369.0,5.0,421.0,15.0,87.0,141.0,44.0,0.0,10.0
19,1032,Goshen,Massachusetts,MA,Hampshire,42.4404,-72.7995,611.0,0.0,108.0,7.0,61.0,93.0,96.0,0.0,18.0
