,County,Population,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
0,Abbeville,20388.0,166746.0,77384.0,4875.0,23.911124190700413,8544.0,1013.0,11.8562734082397
1,Acadia,60580.0,425943.0,220309.0,12655.0,20.889732585011554,25994.0,2503.0,9.629145187350927
2,Accomack,33115.0,904956.0,701817.0,6384.0,19.278272686093914,15335.0,1039.0,6.77535050537985
3,Ada,366618.0,811864.0,427588.0,46423.0,12.662498840755228,190479.0,12825.0,6.733025687871104
4,Adair,72517.0,668627.0,386361.0,16133.0,22.24719720893032,32694.0,2430.0,7.4325564323729125
5,Adams,822409.0,4451991.0,2120933.0,116308.0,14.142354959636872,418794.0,31983.0,7.6369288958294534
6,Addison,36358.0,941803.0,464511.0,3108.0,8.548324990373509,20392.0,1140.0,5.590427618673989
7,Aiken,165345.0,680344.0,357852.0,28838.0,17.44110798633161,77525.0,7588.0,9.787810383747178
8,Aitkin,16055.0,336984.0,194688.0,1949.0,12.13952039862971,7184.0,541.0,7.530623608017818
9,Alachua,266511.0,853164.0,473456.0,59892.0,22.472618390985737,131868.0,10480.0,7.947341280674614
10,Alamance,162092.0,388783.0,205041.0,29166.0,17.99348518125509,80787.0,6200.0,7.674502085731615
11,Alameda,1590894.0,3809725.0,1932466.0,195047.0,12.260213439738914,851490.0,70218.0,8.246485572349647
12,Alamosa,16287.0,107659.0,62041.0,4388.0,26.94173267022779,7039.0,732.0,10.39920443244779
13,Albany,325691.0,2388422.0,1318562.0,48346.0,14.844131400622063,176246.0,10997.0,6.23957423147192
14,Albemarle,81608.0,737645.0,470322.0,7554.0,9.25644544652485,41516.0,1449.0,3.49022063782638
15,Alcona,10139.0,351970.0,204979.0,1519.0,14.981753624617813,3746.0,477.0,12.733582487987187
16,Alcorn,36184.0,104088.0,56736.0,7794.0,21.53990714127791,15946.0,1450.0,9.093189514611815
17,Aleutians East,3304.0,282394.0,169369.0,553.0,16.73728813559322,2593.0,74.0,2.8538372541457773
18,Aleutians West (CA),5473.0,452101.0,190821.0,499.0,9.117485839576101,3701.0,83.0,2.242637125101324
19,Alexander,44965.0,313294.0,144101.0,8665.0,19.270543756254863,20913.0,2195.0,10.495863816764691
20,Alfalfa,5924.0,426071.0,234335.0,616.0,10.398379473328832,2347.0,118.0,5.027694929697486
21,Alger,9323.0,402184.0,244754.0,1223.0,13.118095033787407,3483.0,377.0,10.824002296870514
22,Allamakee,14235.0,338943.0,200710.0,1629.0,11.443624868282402,7423.0,460.0,6.196955408864341
23,Allegan,98980.0,755101.0,342261.0,11467.0,11.585168720953728,47564.0,3045.0,6.401900597090236
24,Allegany,122917.0,1692258.0,878313.0,19286.0,15.690262534881262,56290.0,5502.0,9.77438266121869
25,Alleghany,17686.0,322114.0,188528.0,3545.0,20.044102680085945,7644.0,699.0,9.14442700156986
26,Allegheny,1219265.0,5253506.0,3118975.0,155463.0,12.750550536593767,652272.0,46160.0,7.076802315598401
27,Allen,515908.0,2578085.0,1300999.0,82515.0,15.9941307364879,256449.0,21512.0,8.388412510869607
28,Allendale,9929.0,98602.0,63391.0,2582.0,26.004632893544162,3731.0,839.0,22.487268828732244
29,Alpena,29221.0,202156.0,110969.0,4935.0,16.888539064371514,13340.0,1264.0,9.475262368815592
30,Alpine,1139.0,53125.0,38154.0,199.0,17.471466198419666,471.0,49.0,10.40339702760085
31,Amador,37062.0,601263.0,322739.0,4220.0,11.386325616534457,14663.0,2048.0,13.967128145672781
32,Amelia,12247.0,108240.0,43859.0,1484.0,12.117253204866499,5587.0,318.0,5.6917844997315195
33,Amherst,31313.0,202614.0,77903.0,4228.0,13.502379203525692,15086.0,942.0,6.244199920456052
34,Amite,12045.0,121927.0,64873.0,2824.0,23.44541303445413,4606.0,553.0,12.006079027355623
35,Anchorage Municipality,299810.0,1281160.0,843655.0,23922.0,7.979053400486975,164082.0,10952.0,6.674711424775417
36,Anderson,330580.0,1376584.0,706210.0,53309.0,16.1258999334503,147842.0,11971.0,8.097157776545231
37,Andrew,37315.0,515379.0,235878.0,3707.0,9.934342757604181,18312.0,1138.0,6.214504150283966
38,Andrews,16775.0,70423.0,29423.0,2032.0,12.113263785394933,8245.0,322.0,3.905397210430564
39,Androscoggin,107393.0,750658.0,359963.0,16332.0,15.207695101170467,57079.0,4118.0,7.214562273340458
40,Angelina,88152.0,263046.0,121105.0,16597.0,18.82770668844723,39926.0,3635.0,9.104343034614036
41,Anne Arundel,571243.0,3453063.0,2033291.0,39692.0,6.948356478766479,311416.0,19662.0,6.313741105145529
42,Anoka,319718.0,882121.0,373707.0,25307.0,7.915412957668946,182077.0,11459.0,6.293491215255084
43,Anson,26214.0,237910.0,124449.0,5852.0,22.323949034866864,12039.0,2109.0,17.51806628457513
44,Antelope,5423.0,344050.0,191005.0,739.0,13.627143647427623,2789.0,46.0,1.6493366798135531
45,Antrim,20701.0,433052.0,250885.0,3131.0,15.124873194531665,9330.0,849.0,9.09967845659164
46,Apache,73373.0,789170.0,419150.0,26607.0,36.26265792594006,22931.0,4129.0,18.006192490515023
47,Appanoose,12864.0,405206.0,203952.0,1872.0,14.552238805970148,6286.0,405.0,6.442888959592746
48,Appling,20181.0,104357.0,52928.0,4230.0,20.960309201724396,8506.0,789.0,9.275805313896074
49,Appomattox,14903.0,142900.0,68690.0,2872.0,19.271287660202645,6714.0,434.0,6.464104855525767
50,Aransas,21238.0,84702.0,49949.0,3722.0,17.525190695922404,8804.0,557.0,6.326669695592912
51,Arapahoe,553935.0,1169247.0,600626.0,59785.0,10.792782546688692,303782.0,21907.0,7.211421348203646
52,Archer,6357.0,253891.0,130988.0,808.0,12.710397986471605,3111.0,93.0,2.9893924783027965
53,Archuleta,11983.0,87631.0,71159.0,1391.0,11.608111491279312,5929.0,476.0,8.028335301062574
54,Arenac,14042.0,217286.0,120260.0,2875.0,20.474291411479847,5740.0,679.0,11.829268292682928
55,Arkansas,19415.0,318626.0,238805.0,3805.0,19.598248776719032,9107.0,741.0,8.136598221148567
56,Arlington,224466.0,1114875.0,633694.0,19996.0,8.908253365765862,147139.0,5433.0,3.692426888860193
57,Armstrong,66521.0,1236100.0,656768.0,7937.0,11.931570481502082,31628.0,2357.0,7.452257493360314
58,Aroostook,69716.0,1423986.0,809450.0,12578.0,18.041769464685295,33034.0,2490.0,7.5376884422110555
59,Arthur,406.0,38438.0,20707.0,34.0,8.374384236453203,177.0,8.0,4.519774011299435
60,Ascension,114910.0,466368.0,194686.0,13447.0,11.702201723087633,59296.0,3759.0,6.339382083108473
61,Ashe,28468.0,372172.0,209590.0,5662.0,19.888998173387662,13562.0,1133.0,8.354225040554491
62,Ashland,69463.0,811023.0,406457.0,9531.0,13.720973755812446,34626.0,2533.0,7.315312193149657
63,Ashley,21734.0,206418.0,113949.0,4591.0,21.1235851660992,9003.0,1053.0,11.696101299566811
64,Ashtabula,100421.0,639033.0,281492.0,19333.0,19.25194929347447,44788.0,3968.0,8.859515941770116
65,Asotin,22113.0,157167.0,77079.0,3312.0,14.977614977614978,10466.0,998.0,9.535639212688706
66,Assumption,20578.0,274128.0,137371.0,3304.0,16.05598211682379,9229.0,791.0,8.570809405135984
67,Atascosa,41924.0,398319.0,175968.0,6625.0,15.802404350729892,19179.0,999.0,5.208822149225716
68,Atchison,21499.0,423669.0,240144.0,3514.0,16.344946276571005,10620.0,714.0,6.72316384180791
69,Athens,70778.0,617192.0,313749.0,18991.0,26.831783887648704,32549.0,3403.0,10.455006298196565
70,Atkinson,9301.0,103565.0,52167.0,2504.0,26.92183636168154,4223.0,277.0,6.559318020364669
71,Atlantic,275230.0,1502712.0,786538.0,40313.0,14.647022490280856,146590.0,17984.0,12.268231120813152
72,Atoka,12552.0,186947.0,95790.0,2514.0,20.02868068833652,4614.0,416.0,9.016038144776767
73,Attala,19931.0,129679.0,72362.0,5363.0,26.907832020470625,7942.0,972.0,12.238730798287586
74,Audrain,23794.0,344158.0,157023.0,3805.0,15.991426410019333,10712.0,951.0,8.877893950709485
75,Audubon,5665.0,186728.0,134110.0,537.0,9.479258605472198,2937.0,73.0,2.4855294518215865
76,Auglaize,56344.0,625271.0,277677.0,4882.0,8.6646315490558,29370.0,1546.0,5.263874702076949
77,Augusta,48290.0,884193.0,477127.0,4431.0,9.17581279768068,23275.0,1030.0,4.425349087003222
78,Aurora,2662.0,142146.0,77935.0,210.0,7.888805409466566,1318.0,17.0,1.289833080424886
79,Austin,31308.0,402111.0,221855.0,3655.0,11.674332438993229,15368.0,926.0,6.025507548152004
80,Autauga,53022.0,251908.0,142891.0,7128.0,13.443476292859568,25061.0,1939.0,7.737121423726109
81,Avery,18904.0,156476.0,122816.0,2941.0,15.557553956834532,8694.0,603.0,6.935817805383023
82,Avoyelles,41321.0,382994.0,228857.0,8707.0,21.071610077200454,16628.0,1588.0,9.550156362761607
83,Baca,3757.0,231637.0,120216.0,736.0,19.590098482832047,1812.0,83.0,4.580573951434879
84,Bacon,10335.0,38117.0,18480.0,1758.0,17.010159651669085,4457.0,197.0,4.420013461969935
85,Bailey,7487.0,40051.0,54964.0,1398.0,18.672365433417923,3494.0,143.0,4.092730394962794
86,Baker,81950.0,917266.0,507665.0,12864.0,15.697376449054302,35369.0,3291.0,9.304758404252311
87,Baldwin,239220.0,912650.0,667006.0,38558.0,16.118217540339437,110343.0,8422.0,7.632563914339832
88,Ballard,6396.0,193175.0,99995.0,1020.0,15.947467166979362,2754.0,161.0,5.846042120551925
89,Baltimore,793971.0,3123024.0,1587795.0,74182.0,9.343162407694992,424659.0,30142.0,7.0979303394017315
90,Baltimore (city),631689.0,947471.0,567582.0,134459.0,21.285632645178243,321265.0,39182.0,12.196162046908315
91,Bamberg,15164.0,122584.0,73190.0,4074.0,26.866262199947244,5984.0,724.0,12.098930481283423
92,Bandera,20438.0,280217.0,162527.0,2631.0,12.873079557686662,9320.0,451.0,4.839055793991417
93,Banks,12694.0,121820.0,55529.0,2634.0,20.74996061131243,5589.0,388.0,6.942207908391484
94,Banner,501.0,48365.0,35737.0,48.0,9.580838323353293,300.0,13.0,4.333333333333333
95,Bannock,85866.0,384253.0,220562.0,15843.0,18.450842009642933,40942.0,3053.0,7.456890234966538
96,Baraga,8233.0,211139.0,111397.0,921.0,11.186687720150614,2357.0,197.0,8.358082308018668
97,Barber,4700.0,305772.0,234483.0,496.0,10.553191489361701,2403.0,75.0,3.1210986267166043
98,Barbour,41404.0,373379.0,174897.0,9466.0,22.862525359868613,16178.0,2356.0,14.562986772159723
99,Barnes,11114.0,469527.0,334692.0,838.0,7.5400395897066765,5998.0,147.0,2.45081693897966
100,Barnstable,217053.0,2815764.0,1956764.0,18523.0,8.533860393544433,112037.0,7814.0,6.974481644456742
101,Barnwell,22823.0,122118.0,66626.0,5794.0,25.386671340314596,9800.0,1389.0,14.173469387755102
102,Barren,39970.0,279982.0,133108.0,7751.0,19.392044033024767,18893.0,1446.0,7.653628327952152
103,Barron,45320.0,563317.0,309949.0,5591.0,12.336716681376876,23524.0,1394.0,5.92586294847815
104,Barrow,77048.0,227290.0,89454.0,11130.0,14.44554044232167,38266.0,3894.0,10.176135472743427
105,Barry,87505.0,853912.0,430452.0,13258.0,15.151134220901662,41242.0,3356.0,8.137335725716502
106,Bartholomew,80371.0,421466.0,201265.0,9960.0,12.392529643776983,41436.0,2321.0,5.601409402451974
107,Barton,39377.0,483946.0,268045.0,7169.0,18.206059374761917,19477.0,1296.0,6.654002156389588
108,Bartow,101179.0,428069.0,194723.0,14703.0,14.531671591931133,48869.0,4114.0,8.418424768257996
109,Bastrop,77293.0,461048.0,208607.0,10525.0,13.617015771156508,35921.0,2758.0,7.677959967706912
110,Bates,18368.0,435984.0,210687.0,3186.0,17.345383275261323,8520.0,565.0,6.631455399061033
111,Bath,17742.0,249773.0,220638.0,3662.0,20.640288580768797,7627.0,839.0,11.000393339451946
