State,Name,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree,High School and above
01,Alabama,4777326.0,40659.0,818162.0,173244.0,227301.0,448117.0,182960.0,44662.0,29262.0,1923708.0
02,Alaska,711139.0,2674.0,98765.0,22507.0,35312.0,79441.0,30708.0,7497.0,5322.0,279552.0
04,Arizona,6410979.0,51467.0,847998.0,164505.0,339398.0,702007.0,288414.0,68944.0,45738.0,2457004.0
05,Arkansas,2916372.0,22509.0,559309.0,115433.0,116356.0,252579.0,89971.0,22997.0,14787.0,1171432.0
06,California,37325068.0,575881.0,4461255.0,527304.0,1861509.0,4667570.0,1766387.0,558834.0,351764.0,14194623.0
08,Colorado,5042853.0,27245.0,617354.0,126966.0,268170.0,780515.0,319729.0,72040.0,48622.0,2233396.0
09,Connecticut,3572213.0,23562.0,599381.0,77872.0,177531.0,494197.0,276483.0,70524.0,37885.0,1733873.0
10,Delaware,900131.0,5814.0,170600.0,20266.0,43525.0,103120.0,48432.0,11087.0,9445.0,406475.0
11,District of Columbia,605759.0,5214.0,67885.0,11689.0,12206.0,93963.0,69280.0,34107.0,16399.0,305529.0
12,Florida,18885152.0,170039.0,3360011.0,555867.0,1144238.0,2207281.0,831739.0,259487.0,136664.0,8495287.0
13,Georgia,9714569.0,78340.0,1505356.0,300377.0,421726.0,1105741.0,439265.0,119132.0,69033.0,3960630.0
15,Hawaii,1362730.0,10125.0,240527.0,23042.0,90876.0,181666.0,61126.0,20851.0,11148.0,629236.0
16,Idaho,1567803.0,10055.0,226533.0,49145.0,85361.0,167268.0,52555.0,13796.0,10092.0,604750.0
17,Illinois,12823860.0,90554.0,2002292.0,298953.0,621960.0,1632885.0,721913.0,179995.0,94551.0,5552549.0
18,Indiana,6485530.0,36500.0,1288078.0,210017.0,326036.0,623200.0,252486.0,56453.0,39868.0,2796138.0
19,Iowa,3047646.0,13059.0,585826.0,80913.0,207885.0,353091.0,108259.0,29074.0,19520.0,1384568.0
20,Kansas,2851183.0,12762.0,432727.0,78485.0,138189.0,359569.0,139733.0,32598.0,19474.0,1200775.0
21,Kentucky,4340167.0,31623.0,785247.0,202761.0,199940.0,361888.0,175964.0,46933.0,24142.0,1796875.0
22,Louisiana,4529605.0,37188.0,852749.0,155647.0,149016.0,420395.0,139731.0,45076.0,24713.0,1787327.0
23,Maine,1329084.0,5585.0,273003.0,48097.0,84236.0,164915.0,64897.0,16351.0,10302.0,661801.0
24,Maryland,5785496.0,37271.0,891800.0,116637.0,241919.0,774417.0,429563.0,113722.0,90619.0,2658677.0
25,Massachusetts,6560595.0,59463.0,1027710.0,128940.0,344724.0,989299.0,523662.0,125268.0,102237.0,3241840.0
26,Michigan,9897264.0,67506.0,1760439.0,260871.0,551652.0,1033830.0,473285.0,108256.0,63809.0,4252142.0
27,Minnesota,5313081.0,33095.0,846835.0,109011.0,353432.0,768061.0,254134.0,73383.0,40961.0,2445817.0
28,Mississippi,2967620.0,26016.0,467128.0,112142.0,153049.0,243099.0,96606.0,24767.0,16009.0,1112800.0
29,Missouri,5982413.0,29704.0,1077444.0,183065.0,272744.0,642058.0,274737.0,66671.0,40610.0,2557329.0
30,Montana,990785.0,2338.0,170600.0,32358.0,54260.0,132234.0,39215.0,12095.0,7672.0,448434.0
31,Nebraska,1827306.0,9779.0,298999.0,40608.0,110892.0,225471.0,74332.0,20206.0,13018.0,783526.0
32,Nevada,2704204.0,23057.0,448083.0,66376.0,130846.0,264760.0,91395.0,28049.0,13705.0,1043214.0
33,New Hampshire,1317474.0,5325.0,229674.0,35997.0,87017.0,191995.0,83170.0,16021.0,12184.0,656058.0
34,New Jersey,8793888.0,69238.0,1589656.0,151616.0,369470.0,1314380.0,570273.0,143891.0,83554.0,4222840.0
35,New Mexico,2055287.0,17587.0,293251.0,58467.0,99775.0,195148.0,101223.0,22052.0,23455.0,793371.0
36,New York,19398125.0,216178.0,3090451.0,487992.0,1090117.0,2442722.0,1320436.0,357042.0,175706.0,8964466.0
