State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
01,Alabama,4841164.0,38.6,44758.0,24736.0,868666.0,17.943329331540927,2226504.0,184479.0,8.285590324562632
02,Alaska,736855.0,33.6,74444.0,34191.0,72826.0,9.88335561270535,384093.0,30139.0,7.8467975203921965
04,Arizona,6728577.0,37.1,51340.0,26686.0,1165636.0,17.323662937943638,3129344.0,249972.0,7.988000040903142
05,Arkansas,2968472.0,37.7,42336.0,23401.0,542431.0,18.27307112885013,1359742.0,93190.0,6.853506032762097
06,California,38654206.0,36.0,63783.0,31458.0,6004257.0,15.533256587911804,19260868.0,1683726.0,8.741693261175977
08,Colorado,5359295.0,36.4,62520.0,33230.0,637938.0,11.903394009846444,2864224.0,171695.0,5.994468309741138
09,Connecticut,3588570.0,40.6,71755.0,39906.0,360464.0,10.044781068782273,1948693.0,155005.0,7.954305783414832
10,Delaware,934695.0,39.6,61017.0,31118.0,109448.0,11.70948812179374,471961.0,33669.0,7.133852161513345
11,District of Columbia,659009.0,33.8,72935.0,48781.0,112060.0,17.00432012309392,381551.0,33326.0,8.734350060673409
12,Florida,19934451.0,41.6,48900.0,27598.0,3139258.0,15.747902964571233,9557443.0,802016.0,8.391533174720477
13,Georgia,10099320.0,36.2,51037.0,26678.0,1746894.0,17.297144758260952,4908225.0,419113.0,8.538993220563443
15,Hawaii,1413673.0,38.5,71977.0,30970.0,148577.0,10.509997715171755,703384.0,38768.0,5.511640867577312
16,Idaho,1635483.0,35.7,49174.0,24280.0,244585.0,14.954909344823516,779555.0,48385.0,6.206746156461058
17,Illinois,12851684.0,37.4,59196.0,31502.0,1753731.0,13.645923755984041,6679756.0,545635.0,8.168486992638654
18,Indiana,6589578.0,37.4,50433.0,26117.0,957694.0,14.533464813680027,3314108.0,228929.0,6.907710913464498
19,Iowa,3106589.0,38.0,54570.0,28872.0,369828.0,11.904632379757992,1662467.0,75289.0,4.528751548151031
20,Kansas,2898292.0,36.2,53571.0,28478.0,373162.0,12.875238243765638,1487918.0,79000.0,5.309432374633548
21,Kentucky,4411989.0,38.6,44811.0,24802.0,804139.0,18.226224045436197,2070698.0,156509.0,7.558272621116164
22,Louisiana,4645670.0,36.2,45652.0,25515.0,889570.0,19.148368265503144,2194054.0,168326.0,7.6719169172682165
23,Maine,1329923.0,44.0,50826.0,28473.0,174405.0,13.113917121517561,694258.0,41620.0,5.99488950793509
24,Maryland,5959902.0,38.3,76067.0,37756.0,576835.0,9.678598742059853,3221839.0,216086.0,6.706914901706758
25,Massachusetts,6742143.0,39.4,70954.0,38069.0,740836.0,10.988138341177278,3721211.0,252347.0,6.7813139324805825
26,Michigan,9909600.0,39.5,50803.0,27549.0,1575066.0,15.894344877694357,4862651.0,412934.0,8.491952229349794
27,Minnesota,5450868.0,37.8,63217.0,33225.0,577196.0,10.589065814839032,3010294.0,145853.0,4.845141371573674
28,Mississippi,2989192.0,36.7,40528.0,21651.0,645553.0,21.59623737785997,1341490.0,128840.0,9.604246024942414
29,Missouri,6059651.0,38.3,49593.0,27044.0,897755.0,14.815292167816265,3035326.0,200143.0,6.593789266787159
30,Montana,1023391.0,39.8,48380.0,27309.0,148677.0,14.527878396429127,520124.0,29382.0,5.649037537202667
31,Nebraska,1881259.0,36.2,54384.0,28596.0,227021.0,12.067503730214712,1019897.0,42544.0,4.171401621928489
