Overall,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Total Overdose Deaths,16849,17415,19394,23518,25785,27424,29813,34425,36010,36450,37004,38329,41340,41502,43982,47055,52404
  Female,5591,5852,6736,8490,9386,10304,11089,12532,13712,13982,14411,15323,16352,16390,17183,18243,19447
  Male,11258,11563,12658,15028,16399,17120,18724,21893,22298,22468,22593,23006,24988,25112,26799,28812,32957
Prescription Drugs1,7523,7885,9197,11529,12640,14153,15352,18559,19601,20044,20848,22134,22810,22114,22767,25760,29728
  Female,3011,3196,3790,4765,5191,5980,6351,7553,8251,8275,8740,9292,9771,9632,10019,11181,12218
  Male,4512,4689,5407,6764,7449,8173,9001,11006,11350,11769,12108,12842,13039,12482,12748,14579,17510
  Opioid Pain Relievers2,4030,4400,5528,7456,8517,9857,10928,13723,14408,14800,15597,16651,16917,16007,16235,18893,22598
  Female,1287,1534,1969,2761,3173,3758,4188,5058,5630,5733,6213,6631,6903,6745,6992,7924,8786
  Male,2743,2866,3559,4695,5344,6099,6740,8665,8778,9067,9384,10020,10014,9262,9243,10969,13812
  Benzodiazepines3,1135,1298,1594,2022,2248,2627,3084,3835,4500,5010,5567,6497,6872,6524,6973,7945,8791
  Female,420,480,614,763,885,1079,1209,1472,1894,2046,2281,2579,2902,2789,3026,3487,3779
  Male,715,818,980,1259,1363,1548,1875,2363,2606,2964,3286,3918,3970,3735,3947,4458,5012
Illicit Drugs4,5630,5309,5556,6838,7653,7911,8923,10039,9418,8612,8446,8408,10284,11641,14775,17465,21823
  Female,1190,1164,1284,1627,1854,2001,2251,2456,2301,2055,2043,2159,2636,2957,3707,4472,5770
  Male,4440,4145,4272,5211,5799,5910,6672,7583,7117,6557,6403,6249,7648,8684,11068,12993,16053
  Cocaine5,3822,3544,3833,4599,5199,5443,6208,7448,6512,5129,4350,4183,4681,4404,4944,5415,6784
  Female,850,843,957,1143,1322,1405,1620,1860,1665,1322,1141,1132,1314,1262,1376,1535,1899
  Male,2972,2701,2876,3456,3877,4038,4588,5588,4847,3807,3209,3051,3367,3142,3568,3880,4885
  Heroin6,1960,1842,1779,2089,2080,1878,2009,2088,2399,3041,3278,3036,4397,5925,8257,10574,12989
  Female,306,279,313,359,358,341,389,344,399,551,577,584,878,1213,1732,2414,3108
  Male,1654,1563,1466,1730,1722,1537,1620,1744,2000,2490,2701,2452,3519,4712,6525,8160,9881
Opioids7,8048,8407,9492,11917,12939,13755,14917,17545,18515,19582,20422,21088,22784,23164,25050,28647,33091
  Female,2057,2264,2766,3759,4137,4642,5161,5945,6581,6819,7287,7733,8325,8431,9054,10227,11420
  Male,5991,6143,6726,8158,8802,9113,9756,11600,11934,12763,13135,13355,14459,14733,15996,18420,21671
  Opioid Pain Relievers2,4030,4400,5528,7456,8517,9857,10928,13723,14408,14800,15597,16651,16917,16007,16235,18893,22598
  Female,1287,1534,1969,2761,3173,3758,4188,5058,5630,5733,6213,6631,6903,6745,6992,7924,8786
  Male,2743,2866,3559,4695,5344,6099,6740,8665,8778,9067,9384,10020,10014,9262,9243,10969,13812
  Opioid Pain Relievers other than synthetic opioids8,6158,6462,7389,9349,10266,11000,12068,13989,15046,15560,15800,16655,17552,16652,16443,16941,17536
  Female,1578,1773,2176,3030,3360,3767,4265,4924,5528,5628,5865,6308,6834,6743,6796,7143,7429
  Male,4580,4689,5213,6319,6906,7233,7803,9065,9518,9932,9935,10347,10718,9909,9647,9798,10107
  Heroin6,1960,1842,1779,2089,2080,1878,2009,2088,2399,3041,3278,3036,4397,5925,8257,10574,12989
  Female,306,279,313,359,358,341,389,344,399,551,577,584,878,1213,1732,2414,3108
  Male,1654,1563,1466,1730,1722,1537,1620,1744,2000,2490,2701,2452,3519,4712,6525,8160,9881
  Synthetic Opioids other than Methadone9,730,782,957,1295,1400,1664,1742,2707,2213,2306,2946,3007,2666,2628,3105,5544,9580
  Female,330,374,447,614,643,798,823,1030,1053,1083,1445,1440,1247,1195,1431,2079,3020
  Male,400,408,510,681,757,866,919,1677,1160,1223,1501,1567,1419,1433,1674,3465,6560
Illicit Opioids (Heroin and Synthetic Opioids other than Methadone)10,2675,2606,2721,3369,3464,3529,3717,4682,4599,5319,6195,5998,7019,8484,11153,15091,19884
  Female,632,646,756,968,998,1133,1203,1349,1449,1621,2012,2016,2114,2389,3105,4218,5458
  Male,2043,1960,1965,2401,2466,2396,2514,3333,3150,3698,4183,3982,4905,6095,8048,10873,14426
